카테고리,회사명,제품,가격,사용시간,흡입력
핸디/스틱청소기,신일전자,SVC-D900RK,29470,15.0,
핸디/스틱청소기,삼성전자,제트 VS20T9258SFCS,924560,120.0,200.0
핸디/스틱청소기,클래파,BVC-H10,42800,20.0,60.0
핸디/스틱청소기,삼성전자,제트 VS15R8544S4CWB,1020000,40.0,150.0
핸디/스틱청소기,일럭스고,EX-1,108390,20.0,80.0
핸디/스틱청소기,스위스밀리터리,트윈에어 SMA-VC2200,566990,30.0,170.0
핸디/스틱청소기,레이나,RC-2402,42490,20.0,
핸디/스틱청소기,쿠쿠전자,인스퓨어 파워클론 CVC-A1420UG,311470,35.0,230.0
핸디/스틱청소기,이나프,ILVH-7500,148990,40.0,180.0
핸디/스틱청소기,하우스웰,GTK-DC22W,174800,30.0,110.0
핸디/스틱청소기,무궁화전자,바로바로 MC-B601,21810,10.0,
핸디/스틱청소기,티피오스,디제로 D2,39800,15.0,
핸디/스틱청소기,삼성전자,VC-LSS95,91670,18.0,
핸디/스틱청소기,신일전자,SVC-8858PNX,158990,30.0,170.0
핸디/스틱청소기,ABKO,오엘라 HV01,78160,35.0,
핸디/스틱청소기,캐치웰,CX11,139000,60.0,200.0
핸디/스틱청소기,아이룸,i10,197850,30.0,250.0
핸디/스틱청소기,삼성전자,VC-PS85,89890,15.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 ZB3511DB,171350,35.0,
핸디/스틱청소기,블랙앤데커,NSVA315J,47720,,
핸디/스틱청소기,이스타,EST-VX100,87980,22.0,130.0
핸디/스틱청소기,딥센,무선청소기,199000,20.0,
핸디/스틱청소기,마끼다,DCL181,63300,40.0,
핸디/스틱청소기,무궁화전자,바로바로 MC-B100,23780,,
핸디/스틱청소기,이노뷰,플릭 에어샷 PIK-DC75,103500,40.0,
핸디/스틱청소기,하우스웰,GTK-BLDC2V,233600,30.0,180.0
핸디/스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3414AK,208100,48.0,
핸디/스틱청소기,듀플렉스,DP-480VC,24800,,
핸디/스틱청소기,샤오미,디어마 VC20S,55730,30.0,
핸디/스틱청소기,라헨느,V10 플러스,99000,60.0,85.0
핸디/스틱청소기,삼성전자,제트 VS20T9278S7CS,970060,120.0,200.0
핸디/스틱청소기,DIBEA,D18 플러스,88870,45.0,90.0
핸디/스틱청소기,블랙앤데커,PV1820CEXT,94830,12.0,35.0
핸디/스틱청소기,퍼피유,A10 DUKE,71800,20.0,130.0
핸디/스틱청소기,툴앤툴,네오스틱 T1,119000,30.0,
핸디/스틱청소기,삼성전자,VC-LSH64,77000,,
핸디/스틱청소기,테팔,엑스퍼트 3.60 TY6921,159000,45.0,
핸디/스틱청소기,샤오미,디어마 CM1900,79110,30.0,
핸디/스틱청소기,대웅모닝컴,DWM-HV74N,35000,15.0,
핸디/스틱청소기,아이룸,A20,63240,35.0,80.0
